codeD,date_obs,t_moy
1,"07/01/2019",3
1,"07/01/2020",3
1,"07/01/2021","0"
1,"07/01/2022",-1
1,"07/01/2023",12
1,"07/02/2019",2
1,"07/02/2020",5
1,"07/02/2021",5
1,"07/02/2022",6
1,"07/02/2023",3
1,"07/03/2019",11
1,"07/03/2020",5
1,"07/03/2021",7
1,"07/03/2022",2
1,"07/03/2023",3
1,"07/04/2019",10
1,"07/04/2020",14
1,"07/04/2021",3
1,"07/04/2022",10
1,"07/04/2023",9
1,"07/05/2019",10
1,"07/05/2020",15
1,"07/05/2021",12
1,"07/05/2022",15
1,"07/05/2023",16
1,"07/06/2019",18
1,"07/06/2020",15
1,"07/06/2021",18
1,"07/06/2022",19
1,"07/06/2023",22
1,"07/07/2019",24
1,"07/07/2020",17
1,"07/07/2021",19
1,"07/07/2022",18
1,"07/07/2023",25
1,"07/08/2019",21
1,"07/08/2020",25
1,"07/08/2021",17
1,"07/08/2022",22
1,"07/08/2023",17
1,"07/09/2019",15
1,"07/09/2020",16
1,"07/09/2021",21
1,"07/09/2022",21
1,"07/09/2023",24
1,"07/10/2019",11
1,"07/10/2020",13
1,"07/10/2021",11
1,"07/10/2022",19
1,"07/10/2023",14
1,"07/11/2019",7
1,"07/11/2020",14
1,"07/11/2021",6
1,"07/11/2022",13
1,"07/11/2023",10
1,"07/12/2019",6
1,"07/12/2020",4
1,"07/12/2021",4
1,"07/12/2022",2
1,"07/12/2023",4
1,"08/01/2019",2
1,"08/01/2020",4
1,"08/01/2021",1
1,"08/01/2022",3
1,"08/01/2023",11
1,"08/02/2019",4
1,"08/02/2020",8
1,"08/02/2021",6
1,"08/02/2022",3
1,"08/02/2023",2
1,"08/03/2019",10
1,"08/03/2020",6
1,"08/03/2021",8
1,"08/03/2022",5
1,"08/03/2023",6
1,"08/04/2019",10
1,"08/04/2020",15
1,"08/04/2021",5
1,"08/04/2022",13
1,"08/04/2023",9
1,"08/05/2019",11
1,"08/05/2020",19
1,"08/05/2021",15
1,"08/05/2022",15
1,"08/05/2023",18
1,"08/06/2019",16
1,"08/06/2020",13
1,"08/06/2021",18
1,"08/06/2022",16
1,"08/06/2023",23
1,"08/07/2019",22
1,"08/07/2020",19
1,"08/07/2021",17
1,"08/07/2022",19
1,"08/07/2023",29
1,"08/08/2019",22
1,"08/08/2020",25
1,"08/08/2021",17
1,"08/08/2022",23
1,"08/08/2023",18
1,"08/09/2019",13
1,"08/09/2020",17
1,"08/09/2021",23
1,"08/09/2022",19
1,"08/09/2023",25
1,"08/10/2019",13
1,"08/10/2020",14
1,"08/10/2021",8
1,"08/10/2022",19
1,"08/10/2023",17
1,"08/11/2019",6
1,"08/11/2020",12
1,"08/11/2021",8
1,"08/11/2022",15
1,"08/11/2023",8
1,"08/12/2019",9
1,"08/12/2020",5
1,"08/12/2021",4
1,"08/12/2022",3
1,"08/12/2023",7
1,"09/01/2019",2
1,"09/01/2020",7
1,"09/01/2021",-3
1,"09/01/2022",3
1,"09/01/2023",7
1,"09/02/2019",9
1,"09/02/2020",10
1,"09/02/2021",3
1,"09/02/2022",5
1,"09/02/2023",2
1,"09/03/2019",10
1,"09/03/2020",6
1,"09/03/2021",3
1,"09/03/2022",8
1,"09/03/2023",13
1,"09/04/2019",9
1,"09/04/2020",14
1,"09/04/2021",11
1,"09/04/2022",6
1,"09/04/2023",10
1,"09/05/2019",12
1,"09/05/2020",21
1,"09/05/2021",20
1,"09/05/2022",16
1,"09/05/2023",17
1,"09/06/2019",12
1,"09/06/2020",12
1,"09/06/2021",19
1,"09/06/2022",17
1,"09/06/2023",20
1,"09/07/2019",21
1,"09/07/2020",23
1,"09/07/2021",17
1,"09/07/2022",18
1,"09/07/2023",29
1,"09/08/2019",26
1,"09/08/2020",27
1,"09/08/2021",18
1,"09/08/2022",22
1,"09/08/2023",21
1,"09/09/2019",12
1,"09/09/2020",18
1,"09/09/2021",22
1,"09/09/2022",18
1,"09/09/2023",24
1,"09/10/2019",14
1,"09/10/2020",14
1,"09/10/2021",10
1,"09/10/2022",18
1,"09/10/2023",20
1,"09/11/2019",6
1,"09/11/2020",13
1,"09/11/2021",1
1,"09/11/2022",13
1,"09/11/2023",10
1,"09/12/2019",7
1,"09/12/2020",2
1,"09/12/2021",3
1,"09/12/2022",1
1,"09/12/2023",8
1,10/01/2019,2
1,10/01/2020,8
1,10/01/2021,-4
1,10/01/2022,3
1,10/01/2023,6
1,10/02/2019,8
1,10/02/2020,13
1,10/02/2021,5
1,10/02/2022,9
1,10/02/2023,"0"
1,10/03/2019,13
1,10/03/2020,5
1,10/03/2021,5
1,10/03/2022,9
1,10/03/2023,12
1,10/04/2019,10
1,10/04/2020,14
1,10/04/2021,12
1,10/04/2022,7
1,10/04/2023,11
1,10/05/2019,15
1,10/05/2020,19
1,10/05/2021,13
1,10/05/2022,18
1,10/05/2023,14
1,10/06/2019,14
1,10/06/2020,13
1,10/06/2021,19
1,10/06/2022,16
1,10/06/2023,22
1,10/07/2019,19
1,10/07/2020,23
1,10/07/2021,19
1,10/07/2022,20
1,10/07/2023,27
1,10/08/2019,21
1,10/08/2020,28
1,10/08/2021,21
1,10/08/2022,23
1,10/08/2023,22
1,10/09/2019,14
1,10/09/2020,21
1,10/09/2021,20
1,10/09/2022,18
1,10/09/2023,25
1,10/10/2019,13
1,10/10/2020,11
1,10/10/2021,10
1,10/10/2022,19
1,10/10/2023,19
1,10/11/2019,5
1,10/11/2020,9
1,10/11/2021,2
1,10/11/2022,11
1,10/11/2023,11
1,10/12/2019,3
1,10/12/2020,"0"
1,10/12/2021,3
1,10/12/2022,1
1,10/12/2023,10
1,11/01/2019,"0"
1,11/01/2020,5
1,11/01/2021,-6
1,11/01/2022,-1
1,11/01/2023,7
1,11/02/2019,5
1,11/02/2020,8
1,11/02/2021,-2
1,11/02/2022,6
1,11/02/2023,1
